local_noise,link_noise,repeat,local_coverage,local_validity,link_consistency,global_stability,cgcs
0.0,0.09999999999999999,5,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.09999999999999999,6,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.09999999999999999,7,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.09999999999999999,8,1.0,1.0,1.0,1.0,1.0
0.0,0.09999999999999999,9,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.09999999999999999,10,1.0,1.0,1.0,1.0,1.0
0.0,0.09999999999999999,11,1.0,1.0,1.0,1.0,1.0
0.0,0.09999999999999999,12,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.09999999999999999,13,1.0,1.0,0.875,1.0,0.875
0.0,0.09999999999999999,14,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.09999999999999999,15,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.09999999999999999,16,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.09999999999999999,17,1.0,1.0,1.0,1.0,1.0
0.0,0.09999999999999999,18,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.09999999999999999,19,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.09999999999999999,20,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.09999999999999999,21,1.0,1.0,1.0,1.0,1.0
0.0,0.09999999999999999,22,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.09999999999999999,23,1.0,1.0,1.0,1.0,1.0
0.0,0.09999999999999999,24,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.15,0,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.15,1,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.15,2,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.15,3,1.0,1.0,0.875,1.0,0.875
0.0,0.15,4,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.15,5,1.0,1.0,0.875,1.0,0.875
0.0,0.15,6,1.0,1.0,1.0,1.0,1.0
0.0,0.15,7,1.0,1.0,0.875,1.0,0.875
0.0,0.15,8,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.15,9,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.15,10,1.0,1.0,0.875,1.0,0.875
0.0,0.15,11,1.0,1.0,1.0,1.0,1.0
0.0,0.15,12,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.15,13,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.15,14,1.0,1.0,1.0,1.0,1.0
0.0,0.15,15,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.15,16,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.15,17,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.15,18,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.15,19,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.15,20,1.0,1.0,0.7083333333333334,0.5833333333333334,0.4131944444444445
0.0,0.15,21,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.15,22,1.0,1.0,0.875,1.0,0.875
0.0,0.15,23,1.0,1.0,1.0,1.0,1.0
0.0,0.15,24,1.0,1.0,1.0,1.0,1.0
0.0,0.19999999999999998,0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.19999999999999998,1,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.19999999999999998,2,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.19999999999999998,3,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.19999999999999998,4,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.19999999999999998,5,1.0,1.0,0.875,1.0,0.875
0.0,0.19999999999999998,6,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.19999999999999998,7,1.0,1.0,0.875,1.0,0.875
0.0,0.19999999999999998,8,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.19999999999999998,9,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.19999999999999998,10,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.19999999999999998,11,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.19999999999999998,12,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.19999999999999998,13,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.19999999999999998,14,1.0,1.0,0.875,1.0,0.875
0.0,0.19999999999999998,15,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.19999999999999998,16,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.19999999999999998,17,1.0,1.0,0.875,1.0,0.875
0.0,0.19999999999999998,18,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.19999999999999998,19,1.0,1.0,1.0,1.0,1.0
0.0,0.19999999999999998,20,1.0,1.0,1.0,1.0,1.0
0.0,0.19999999999999998,21,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.19999999999999998,22,1.0,1.0,0.875,1.0,0.875
0.0,0.19999999999999998,23,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.19999999999999998,24,1.0,1.0,0.7083333333333334,0.9166666666666666,0.6493055555555556
0.0,0.24999999999999997,0,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.24999999999999997,1,1.0,1.0,0.875,1.0,0.875
0.0,0.24999999999999997,2,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.24999999999999997,3,1.0,1.0,0.875,1.0,0.875
0.0,0.24999999999999997,4,1.0,1.0,0.75,1.0,0.75
0.0,0.24999999999999997,5,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.24999999999999997,6,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.24999999999999997,7,1.0,1.0,0.875,1.0,0.875
0.0,0.24999999999999997,8,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.24999999999999997,9,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.24999999999999997,10,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.24999999999999997,11,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.24999999999999997,12,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
